色,上の句,下の句,上の句読み,下の句読み,決まり字（競技かるた）,決まり字（五色百人一首）
黄,浅茅生[あさぢふ]の小野[をの]の篠原[しのはら]しのぶれど,あまりてなどか人[ひと]の恋[こひ]しき,あさぢふの をののしのはら しのぶれど,あまりてなどか ひとのこひしき,あさじ,あさ
黄,天[あま]の原[はら]振[ふ]りさけ見[み]れば春日[かすが]なる,三笠[みかさ]の山[やま]に出[い]でし月[つき]かも,あまのはら ふりさけみれば かすがなる,みかさのやまに いでしつきかも,あまの,あま
黄,淡路島[あはぢしま]通[かよ]ふ千鳥[ちどり]の鳴[な]く声[こゑ]に,いく夜[よ]寝[ね]ざめぬ須磨[すま]の関守[せきもり],あはぢしま かよふちどりの なくこゑに,いくよねざめぬ すまのせきもり,あわじ,あわ
黄,大江山[おほえやま]いく野[の]の道[みち]の遠[とほ]ければ,まだふみも見[み]ず天[あま]の橋立[はしだて],おほえやま いくののみちの とほければ,まだふみもみず あまのはしだて,おおえ,お
黄,これやこの行[ゆ]くも帰[かへ]るも別[わか]れては,知[し]るも知[し]らぬも逢坂[あふさか]の関[せき],これやこの ゆくもかへるも わかれては,しるもしらぬも あふさかのせき,これ,こ
黄,白露[しらつゆ]に風[かぜ]の吹[ふ]きしく秋[あき]の野[の]は,つらぬきとめぬ玉[たま]ぞ散[ち]りける,しらつゆに かぜのふきしく あきののは,つらぬきとめぬ たまぞちりける,しら,し
黄,住[すみ]の江[え]の岸[きし]に寄[よ]る波[なみ]寄[よ]るさへや,夢[ゆめ]の通[かよ]ひ路[ぢ]人目[ひとめ]よくらむ,すみのえの きしによるなみ よるさへや,ゆめのかよひぢ ひとめよくらむ,す,す
黄,滝[たき]の音[おと]は絶[た]えて久[ひさ]しくなりぬれど,名[な]こそ流[なが]れてなほ聞[き]こえけれ,たきのおとは たえてひさしく なりぬれど,なこそながれて なほきこえけれ,たき,たき
黄,玉[たま]の緒[を]よ絶[た]えなば絶[た]えね永[なが]らへば,しのぶる事[こと]の弱[よわ]りもぞする,たまのをよ たえなばたえね ながらへば,しのぶることの よわりもぞする,たま,たま
黄,花[はな]さそふ嵐[あらし]の庭[には]の雪[ゆき]ならで,ふりゆくものはわが身[み]なりけり,はなさそふ あらしのにはの ゆきならで,ふりゆくものは わがみなりけり,はなさ,はな
黄,春[はる]過[す]ぎて夏[なつ]来[き]にけらし白妙[しろたへ]の,衣[ころも]干[ほ]すてふ天[あま]の香具山[かぐやま],はるすぎて なつきにけらし しろたへの,ころもほすてふ あまのかぐやま,はるす,はる
黄,久方[ひさかた]の光[ひかり]のどけき春[はる]の日[ひ]に,しづ心[こころ]なく花[はな]の散[ち]るらむ,ひさかたの ひかりのどけき はるのひに,しづこころなく はなのちるらむ,ひさ,ひ
黄,ほととぎす鳴[な]きつる方[かた]をながむれば,ただ有明[ありあけ]の月[つき]ぞ残[のこ]れる,ほととぎす なきつるかたを ながむれば,ただありあけの つきぞのこれる,ほ,ほ
黄,み吉野[よしの]の山[やま]の秋風[あきかぜ]さ夜[よ]更[ふ]けて,ふるさと寒[さむ]く衣[ころも]うつなり,みよしのの やまのあきかぜ さよふけて,ふるさとさむく ころもうつなり,みよ,み
黄,村雨[むらさめ]の露[つゆ]のまだ干[ひ]ぬまきの葉[は]に,霧[きり]立[た]ちのぼる秋[あき]の夕暮[ゆふぐれ],むらさめの つゆのまだひぬ まきのはに,きりたちのぼる あきのゆふぐれ,む,む
黄,八重[やへ]むぐらしげれる宿[やど]の寂[さび]しきに,人[ひと]こそ見[み]えね秋[あき]は来[き]にけり,やへむぐら しげれるやどの さびしきに,ひとこそみえね あきはきにけり,やえ,やえ
黄,山川[やまがは]に風[かぜ]のかけたるしがらみは,流[なが]れもあへぬ紅葉[もみぢ]なりけり,やまがはに かぜのかけたる しがらみは,ながれもあへぬ もみぢなりけり,やまが,やま
黄,由良[ゆら]の門[と]をわたる舟人[ふなびと]かぢを絶[た]え,ゆくへも知[し]らぬ恋[こひ]の道[みち]かな,ゆらのとを わたるふなびと かぢをたえ,ゆくへもしらぬ こひのみちかな,ゆら,ゆ
黄,夜[よ]もすがら物[もの]思[おも]ふころは明[あ]けやらで,ねやの隙[ひま]さへつれなかりけり,よもすがら ものおもふころは あけやらで,ねやのひまさへ つれなかりけり,よも,よ
緑,小倉山[をぐらやま]峰[みね]のもみぢ葉[ば]心[こころ]あらば,今[いま]一度[ひとたび]のみゆき待[ま]たなむ,をぐらやま みねのもみぢば こころあらば,いまひとたびの みゆきまたなむ,おぐ,お
緑,君[きみ]がため春[はる]の野[の]に出[い]でて若菜[わかな]つむ,わが衣手[ころもで]に雪[ゆき]は降[ふ]りつつ,きみがため はるののにいでて わかなつむ,わがころもでに ゆきはふりつつ,きみがためは,き
緑,恋[こひ]すてふわが名[な]はまだき立[た]ちにけり,人[ひと]知[し]れずこそ思[おも]ひそめしか,こひすてふ わがなはまだき たちにけり,ひとしれずこそ おもひそめしか,こい,こい
緑,心[こころ]あてに折[を]らばや折[を]らむ初霜[はつしも]の,置[お]きまどはせる白菊[しらぎく]の花[はな],こころあてに をらばやをらむ はつしもの,おきまどはせる しらぎくのはな,こころあ,こころあ
緑,心[こころ]にもあらで憂[う]き世[よ]に永[なが]らへば,恋[こひ]しかるべき夜半[よは]の月[つき]かな,こころにも あらでうきよに ながらへば,こひしかるべき よはのつきかな,こころに,こころに
緑,契[ちぎ]りきなかたみに袖[そで]をしぼりつつ,末[すゑ]の松山[まつやま]波[なみ]こさじとは,ちぎりきな かたみにそでを しぼりつつ,すゑのまつやま なみこさじとは,ちぎりき,ちぎ
緑,千早振[ちはやぶ]る神代[かみよ]も聞[き]かず龍田川[たつたがは],から紅[くれなゐ]に水[みづ]くくるとは,ちはやぶる かみよもきかず たつたがは,からくれなゐに みづくくるとは,ちは,ちは
緑,月[つき]見[み]れば千々[ちぢ]に物[もの]こそ悲[かな]しけれ,わが身[み]一[ひと]つの秋[あき]にはあらねど,つきみれば ちぢにものこそ かなしけれ,わがみひとつの あきにはあらねど,つき,つ
緑,夏[なつ]の夜[よ]はまだ宵[よひ]ながら明[あ]けぬるを,雲[くも]のいづこに月[つき]やどるらむ,なつのよは まだよひながら あけぬるを,くものいづこに つきやどるらむ,なつ,な
緑,花[はな]の色[いろ]は移[うつ]りにけりないたづらに,わが身[み]世[よ]に経[ふ]るながめせし間[ま]に,はなのいろは うつりにけりな いたづらに,わがみよにふる ながめせしまに,はなの,は
緑,人[ひと]はいさ心[こころ]も知[し]らずふるさとは,花[はな]ぞ昔[むかし]の香[か]に匂[にほ]ひける,ひとはいさ こころもしらず ふるさとは,はなぞむかしの かににほひける,ひとは,ひ
